(-0.37035, 1.56423, 5.68104)
(4.63146, 2.06008, -7.94547)
(3.08328, -6.31172, 2.02657)
(2.68881, -11.0604, -3.69239)
(-7.25248, 0.728098, 11.0813)
(-0.450089, -4.24532, 0.467114)
(-4.30289, -1.97971, 2.05217)
(7.85875, 3.61356, -9.33528)
(-9.04053, -0.462116, 6.94953)
(11.3447, -1.06182, -0.796656)
(-3.08479, 2.66233, -10.5291)
(-2.27062, 1.18566, 1.78436)
(6.00159, -1.48309, -5.44706)
(-0.0417649, 0.810838, -1.70623)
(-12.4353, 0.169564, 7.04689)
(-13.0539, -2.23152, -5.98426)
(-2.37669, 0.631802, 2.47704)
(-5.91701, -0.424909, 5.44885)
(-5.92065, -2.5359, 6.23215)
(4.41644, 5.09183, 3.62687)
(2.30358, 0.240474, -6.57086)
(-1.07596, -5.86061, 1.8854)
(-0.534482, -2.22952, 4.2244)
(8.19783, -9.53725, 2.11061)
(1.33922, 0.00309014, -0.351291)
(7.27813, -6.49078, 0.66465)
(1.93183, -1.70594, 0.889886)
(-5.31565, 6.9507, -11.1517)
(-9.01588, -4.10237, -5.36134)
(2.82581, 5.8637, 9.43328)
(0.131843, -0.95247, -0.717141)
(5.77113, -1.04082, -8.83739)
(-0.559352, -3.76655, 0.384006)
(-0.915931, -3.03301, 2.83874)
(2.71141, 0.686454, 1.64074)
(-0.868759, 2.61816, -2.6535)
(-2.11785, 4.55828, 5.60552)
(11.4093, 4.33239, 3.14588)
(1.56843, 5.26947, 2.97634)
(1.88829, 8.14843, -10.8139)
(2.70739, -8.0417, -6.64757)
(-0.0687753, -1.84632, 1.05057)
(4.40789, 4.10282, 8.81522)
(2.12357, -9.79964, 8.50495)
(0.75483, 0.380273, 1.36442)
(-2.12986, -1.26831, 0.452005)
(-4.1379, -2.35233, 2.04988)
(-5.49556, 0.0190729, -0.544896)
(10.5917, -6.03426, 7.71636)
(-5.92671, 6.67032, 11.0668)
(1.95335, 0.469534, 0.105278)
(-0.990233, 0.856526, 2.09115)
(-8.45603, -11.0046, 0.203664)
(-7.21965, 3.04922, 0.958295)
(7.51629, -0.0817113, -3.09683)
(1.36047, 7.96199, -4.97762)
(-0.079117, 6.31729, -0.217085)
(-6.35254, 2.34769, 12.6854)
(-0.963935, -2.47914, 1.003)
(6.56631, 2.87019, 10.7932)
(-2.24431, 1.75155, -4.67275)
(10.1237, 5.39005, -4.43373)
(12.7079, 4.73497, 1.13091)
(-1.13695, 1.5167, -4.13835)
